# Pathway	PCMP_EBneg1.cat.filtered2_Abundance	PCMP_EBneg2.cat.filtered2_Abundance	PCMP_L001.cat.filtered2_Abundance	PCMP_L002.cat.filtered2_Abundance	PCMP_L006.cat.filtered2_Abundance	PCMP_L011.cat.filtered2_Abundance	PCMP_L018.cat.filtered2_Abundance	PCMP_L039.cat.filtered2_Abundance	PCMP_L041.cat.filtered2_Abundance	PCMP_L051.cat.filtered2_Abundance	PCMP_L063.cat.filtered2_Abundance	PCMP_L066.cat.filtered2_Abundance	PCMP_L069.cat.filtered2_Abundance	PCMP_L077.cat.filtered2_Abundance	PCMP_L079.cat.filtered2_Abundance	PCMP_L089.cat.filtered2_Abundance	PCMP_L1.cat.filtered2_Abundance	PCMP_L104.cat.filtered2_Abundance	PCMP_L108.cat.filtered2_Abundance	PCMP_L111.cat.filtered2_Abundance	PCMP_L113.cat.filtered2_Abundance	PCMP_L117.cat.filtered2_Abundance	PCMP_L118.cat.filtered2_Abundance	PCMP_NL087.cat.filtered2_Abundance	PCMP_NL090.cat.filtered2_Abundance	PCMP_NL091.cat.filtered2_Abundance	PCMP_NL093.cat.filtered2_Abundance	PCMP_NL099.cat.filtered2_Abundance	PCMP_NL100.cat.filtered2_Abundance	PCMP_NL101.cat.filtered2_Abundance	PCMP_NL102.cat.filtered2_Abundance	PCMP_NL105.cat.filtered2_Abundance	PCMP_NL108.cat.filtered2_Abundance	PCMP_NL114.cat.filtered2_Abundance	PCMP_NL119.cat.filtered2_Abundance	PCMP_NL121.cat.filtered2_Abundance	PCMP_NL122.cat.filtered2_Abundance	PCMP_NL125.cat.filtered2_Abundance	PCMP_NL128.cat.filtered2_Abundance	PCMP_NL129.cat.filtered2_Abundance	PCMP_NL130.cat.filtered2_Abundance	PCMP_NL131.cat.filtered2_Abundance	PCMP_NL132.cat.filtered2_Abundance	PCMP_T1.cat.filtered2_Abundance	PCMP_X2.cat.filtered2_Abundance	PCMP_Z2.cat.filtered2_Abundance	PCMP_vibriolambda1.cat.filtered2_Abundance	PCMP_vibriolambda2.cat.filtered2_Abundance
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	2	0	3307	1770	1427	3246	2983	2429	3541	2547	1497	2699	1888	5222	2454	1788	3889	2456	2064	2166	2595	1415	1808	4013	1522	2068	5608	73	1764	2911	4500	3934	2638	1316	1939	4079	1901	1596	1609	3337	731	403	2656	3691	2630	3479	1613	0
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	18	166	1192	1472	1819	4046	2372	2660	1615	1601	2075	2699	1088	1539	2166	2888	4538	1305	2729	1829	3559	1773	2757	2715	722	2891	2531	92	2506	4126	4170	940	1411	924	1405	2060	2449	733	713	1366	354	434	1942	4518	3357	4109	1641	0
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	7	20	5075	3137	2578	5008	4791	4383	6396	4808	3168	5758	4027	6294	5120	3897	5331	4467	4149	4292	4570	2225	3954	5677	2937	3889	10106	110	4219	5533	8179	5405	4312	2692	3753	6726	3780	2976	2853	5091	951	681	5159	5219	3975	4766	1784	0
PWY-7234: inosine-5'-phosphate biosynthesis III	19	128	422	294	1285	413	332	341	989	143	322	1038	380	330	156	484	3580	880	819	646	1405	176	295	1375	583	1331	1780	44	383	1946	370	381	1235	247	631	1559	1717	470	478	808	307	76	1021	3379	2828	2992	1340	0
PWY-7237: myo-, chiro- and scillo-inositol degradation	0	0	130	195	189	208	190	1168	5	35	154	194	24	119	148	210	91	538	176	150	222	55	508	177	28	294	485	2	377	697	280	49	71	28	181	799	324	139	314	715	33	33	213	135	97	114	0	0
PWY-7238: sucrose biosynthesis II	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	25	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7242: D-fructuronate degradation	0	0	167	45	109	151	280	1236	133	97	300	224	91	51	184	30	5623	956	346	352	337	269	875	193	72	900	599	0	278	868	269	244	130	76	58	904	265	34	341	199	0	36	431	6363	5153	5748	0	0
PWY-7245: superpathway NAD/NADP - NADH/NADPH interconversion (yeast)	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	14	126	2024	1019	1139	1571	1575	3381	1877	1351	1678	2927	912	1792	1783	1431	4000	3231	2302	1993	2392	800	2721	1805	611	2811	3999	54	1861	4005	2354	895	1826	1016	1489	3045	2204	860	1556	2055	70	272	3164	4134	3334	3650	1601	0
PWY-7254: TCA cycle VII (acetate-producers)	0	0	280	190	395	108	279	825	104	270	117	709	82	436	276	473	1802	74	155	392	123	47	150	855	224	475	862	22	324	252	435	171	527	210	365	324	867	93	51	305	72	64	166	2166	1727	1744	0	0
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	0	0	0	0	217	66	13	0	7	0	57	40	10	14	16	20	3848	39	20	33	0	109	0	46	0	685	189	0	0	0	23	0	20	6	0	0	13	13	0	0	0	0	0	3891	3056	3617	0	0
PWY-7279: aerobic respiration II (cytochrome c) (yeast)	52	391	0	9	99	30	5	4	165	66	65	20	124	461	8	869	2340	40	48	17	14	10	6	829	122	0	197	0	256	0	268	0	241	3	0	363	355	153	0	174	10	15	62	2298	1851	2029	2175	0
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	4	0	952	1165	946	1334	178	1049	1762	1498	964	2461	1008	1957	1715	1288	1202	1351	1737	1287	1401	834	1285	2009	885	1184	3856	0	1580	1504	1882	1450	1495	875	1946	2083	1539	728	155	1358	184	274	1766	1556	1109	1399	32	0
PWY-7283: wybutosine biosynthesis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)	0	0	0	0	0	0	0	0	0	67	16	16	0	28	30	24	0	16	16	21	0	8	0	43	13	0	188	42	10	0	26	18	97	0	0	44	934	0	0	57	0	0	19	0	0	0	0	0
PWY-7294: xylose degradation IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis	0	0	5	0	4	17	30	26	0	13	6	21	20	0	18	4	0	16	10	17	16	8	20	0	0	19	14	0	20	27	0	0	7	6	0	7	0	0	30	0	0	0	11	0	0	0	0	0
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	0	0	149	28	169	200	289	240	25	99	215	148	32	22	161	67	2925	589	250	203	279	269	625	78	31	646	171	17	97	615	90	19	69	99	0	228	99	15	196	54	0	17	345	3382	2586	2884	0	0
PWY-7316: dTDP-N-acetylviosamine biosynthesis	0	0	51	598	10	70	624	80	912	26	126	834	108	0	64	0	0	146	48	132	37	156	66	0	0	49	416	0	16	187	123	988	300	0	192	58	0	5	377	0	0	18	87	0	0	0	0	0
PWY-7317: superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	0	0	12	0	8	0	0	0	0	0	29	15	0	0	4	0	0	35	18	26	30	27	0	0	0	19	0	0	0	78	0	0	0	0	0	0	12	0	23	0	0	0	23	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	0	0	342	419	351	670	883	790	467	1092	557	1612	1292	243	1703	265	4127	492	919	1346	596	192	1316	352	325	1556	1127	0	1258	1348	1130	360	354	368	493	585	408	437	713	162	16	99	384	4511	3505	3983	0	0
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0	0	117	12	127	138	271	73	298	82	77	191	16	98	42	78	1645	126	151	63	87	87	148	36	40	395	192	0	27	178	70	0	47	20	74	62	38	0	101	73	7	12	86	1909	1419	1790	0	0
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	0	0	89	24	43	77	34	17	44	75	0	89	70	75	109	273	0	154	636	68	52	45	95	94	25	50	375	0	121	46	297	0	32	198	124	277	223	182	167	39	0	0	187	0	0	0	0	0
PWY-7337: 10-cis-heptadecenoyl-CoA degradation (yeast)	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	9	0	0	0	0	0	0	0	20	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
PWY-7338: 10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	9	0	0	0	0	0	0	0	20	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
PWY-7345: superpathway of anaerobic sucrose degradation	0	0	155	0	0	0	0	0	0	0	34	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7347: sucrose biosynthesis III	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	20	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0	0	1923	961	1689	1253	1137	2301	1514	1821	1056	3004	1014	2331	1997	3824	1187	1531	1630	1844	1285	551	1483	2632	956	1505	3648	29	1971	1963	1692	2215	1640	786	2844	2492	1691	739	1140	1345	372	296	2509	1474	1074	1308	32	0
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	0	0	115	94	24	14	0	491	82	122	0	293	66	251	85	477	13	32	106	181	98	0	4	495	44	0	176	0	120	0	386	0	72	78	146	174	32	39	23	49	0	32	37	20	7	14	0	0
PWY-7373: superpathway of demethylmenaquinol-6 biosynthesis II	0	0	84	90	21	11	0	0	77	119	0	279	46	211	75	385	0	0	96	132	47	0	0	387	41	0	167	0	113	0	380	0	55	66	140	156	25	28	10	42	0	26	15	0	0	0	0	0
PWY-7374: 1,4-dihydroxy-6-naphthoate biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	6	8	0	0
PWY-7376: cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0	0	525	405	635	62	76	175	186	256	76	703	412	408	346	533	648	2536	579	689	382	20	763	703	144	1000	1562	66	777	1028	852	241	816	195	573	1468	2145	297	407	1015	81	108	1408	813	584	603	0	0
PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)	0	0	137	301	139	134	119	737	240	420	136	344	296	549	318	171	621	249	235	220	163	30	156	508	105	700	619	5	608	353	664	183	284	194	191	485	244	189	85	167	0	74	172	1147	686	1026	0	0
PWY-7385: 1,3-propanediol biosynthesis (engineered)	0	0	0	3	6	0	0	0	0	5	13	10	7	13	15	0	0	0	0	0	0	5	0	34	0	0	40	0	12	0	11	10	9	0	0	8	4	0	0	58	0	0	16	0	0	0	0	0
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	24	143	1286	1512	896	3954	786	2040	1690	1521	1851	2613	1306	1242	2358	894	4285	1833	2392	2858	3738	1737	2805	1159	976	3322	3317	26	2062	3922	2695	423	1119	994	1346	1180	1429	590	782	572	71	316	1735	4675	3669	4016	1694	0
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	0	0	190	287	206	85	92	229	196	304	78	409	150	393	264	225	556	376	294	302	214	21	233	523	95	800	733	8	594	486	540	134	379	194	246	541	384	136	127	240	0	65	257	768	533	591	0	0
PWY-7391: isoprene biosynthesis II (engineered)	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	117	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	21	0	0	0	0	0	0	0	110	95	118	0	0
PWY-7392: taxadiene biosynthesis (engineered)	0	0	331	307	714	356	255	254	399	840	235	852	688	732	940	364	1649	728	497	676	303	57	496	742	344	933	1446	0	566	516	1334	285	507	340	410	1182	610	504	331	689	66	12	701	454	319	561	0	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	17	146	3056	625	833	2561	2874	4546	636	669	2847	2603	544	1193	1173	2309	3881	4405	2922	2294	3321	1387	4238	1814	328	3785	2727	68	1682	5435	1979	624	1178	902	763	2716	2434	409	2647	1699	198	216	3190	4525	3643	4062	0	0
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	0	0	0	0	56	28	13	0	5	0	37	11	0	4	6	0	92	6	0	20	0	42	0	29	0	336	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	60	119	0	0
PWY-7411: superpathway of phosphatidate biosynthesis (yeast)	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7420: monoacylglycerol metabolism (yeast)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7431: aromatic biogenic amine degradation (bacteria)	11	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	25	0	0	0	0	0	0	0	0	0	0
PWY-7446: sulfoglycolysis	0	0	3	0	18	8	4	0	0	0	9	5	3	6	11	2	2827	4	0	14	0	47	0	2	0	293	24	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3355	2530	2964	0	0
PWY-7456: mannan degradation	0	0	1703	519	67	851	1373	1623	52	235	473	1242	211	793	971	275	142	515	1232	1370	1440	649	1390	189	0	1246	387	0	794	1276	1257	152	522	385	18	733	752	38	962	277	0	59	919	277	230	246	0	0
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	0	0	1059	827	839	3290	680	873	1433	1684	916	2631	2285	1341	2460	2007	2980	963	1739	1896	2305	769	1613	1340	780	2034	2605	31	1850	2810	2022	769	1083	997	1616	1747	1176	692	1081	795	356	325	1274	3576	2526	2988	1742	0
PWY-7560: methylerythritol phosphate pathway II	0	41	2333	1745	1612	1334	1088	1538	4232	3554	2425	4844	2944	3062	3512	2697	2680	1752	2168	1775	923	621	1875	3449	2196	2964	7535	49	2898	1469	4995	3588	2750	1931	2507	5039	3042	1770	1699	2646	162	307	4779	2615	2124	2360	46	0
PWY-7592: arachidonate biosynthesis III (metazoa)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7616: methanol oxidation to carbon dioxide	0	0	0	0	0	21	26	11	0	3	11	19	17	7	26	8	0	26	13	0	8	0	5	17	0	12	101	0	0	12	13	0	14	4	0	8	22	8	6	0	0	0	0	0	0	0	0	0
PWY-7619: juniperonate biosynthesis	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7644: heparin degradation	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	0	7	0	0	0	67	0	0	0	0	0	20	32	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7663: gondoate biosynthesis (anaerobic)	28	215	1034	1271	853	4749	1072	1640	1640	1649	1583	2629	2239	1547	3756	1248	5891	2620	2010	2873	3267	1463	2337	1879	1133	2941	3562	21	1957	3330	2495	421	1112	987	1446	2082	1302	1004	629	1059	55	254	1511	6473	4860	5555	2014	0
PWY-7664: oleate biosynthesis IV (anaerobic)	24	202	831	628	763	1117	787	1103	1388	1615	713	2481	1981	1283	2591	954	5747	1826	1593	2050	1582	371	1875	1269	764	1732	3080	11	1678	1802	2412	127	1038	947	1282	1312	1153	810	605	655	0	153	1283	6184	4650	5320	1901	0
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	0	0	38	6	126	92	94	56	5	7	53	83	14	48	47	201	431	1078	66	205	35	62	98	91	73	462	284	27	276	114	92	14	126	29	21	78	453	18	190	48	77	0	500	428	284	271	7	0
PWY-822: fructan biosynthesis	0	0	0	0	0	8	20	1	0	0	0	0	1	0	0	18	0	0	7	4	0	0	0	0	0	14	0	0	2	53	0	0	2	1	0	5	6	0	0	0	0	0	11	0	0	0	0	0
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	6	0	1548	1716	2115	2810	1904	2258	2320	2231	2073	3611	1611	2292	2918	3601	3909	1811	3004	2307	3065	829	2814	3464	1060	2413	3797	88	3058	3306	5174	1398	1940	1319	2007	2949	2954	1097	970	2021	448	454	2736	4057	3121	3578	300	0
PWY-922: mevalonate pathway I	0	0	0	0	18	0	5	0	0	0	8	4	0	4	0	11	139	0	3	12	0	0	0	6	21	0	15	0	0	12	0	0	92	0	6	38	0	0	0	4	0	0	0	149	116	154	0	0
PWY0-1061: superpathway of L-alanine biosynthesis	4	21	430	91	772	219	396	307	45	129	401	567	97	281	169	407	5752	1068	456	734	575	252	1201	563	79	1906	903	64	172	1387	271	110	812	258	406	509	2323	54	552	555	30	53	714	5776	4554	5120	0	0
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0	0	121	109	161	135	307	195	65	94	15	129	106	267	198	510	2582	63	174	80	168	70	63	341	44	299	167	0	178	46	234	46	34	55	69	217	79	63	89	7	0	20	32	2837	2096	2503	1601	0
PWY0-1261: anhydromuropeptides recycling	0	0	548	318	607	419	586	116	319	116	192	129	22	22	352	67	4507	1327	320	453	889	367	394	362	0	2170	1236	0	340	632	172	0	244	338	43	289	432	143	629	0	46	0	42	4102	3258	3723	1622	0
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	0	0	0	0	0	0	0	0	4	0	9	5	0	2	7	0	2306	13	0	0	0	39	0	84	0	246	22	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2412	1874	2134	0	0
PWY0-1296: purine ribonucleosides degradation	0	0	1312	187	698	1638	1919	3625	1055	966	2306	1702	429	1122	1222	3141	6136	2580	2096	1580	1970	1424	3790	1927	709	2519	2818	13	979	3695	1260	541	861	649	1879	2086	1326	510	1774	2236	428	145	3909	6306	4963	5620	2111	0
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0	0	755	189	601	769	974	1701	668	683	1185	1178	251	851	690	687	5121	2309	1567	1194	1452	497	2602	1442	488	1817	1796	18	779	3139	1182	518	804	497	707	1802	1238	448	979	1182	206	134	1643	5170	4107	4666	1778	0
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	0	0	420	180	542	401	148	859	624	609	833	988	315	916	582	732	3029	727	826	512	611	236	909	1363	437	689	1618	10	606	1307	1001	484	693	436	719	1475	970	403	672	1092	207	102	1563	3109	2431	2780	1326	0
PWY0-1319: CDP-diacylglycerol biosynthesis II	5	5	2552	2158	1948	2887	5254	3970	3328	3582	3599	5393	3370	3491	4631	4546	4396	3703	4158	3383	3859	1712	5466	3646	2848	4114	7345	40	4701	5920	4339	2697	2600	2096	3628	4574	3185	1676	2759	3900	691	471	5612	4948	3672	4241	1517	0
PWY0-1338: polymyxin resistance	0	0	2	0	59	23	6	0	3	1	21	8	6	3	0	0	135	8	8	4	0	49	0	13	0	264	75	0	0	0	4	0	0	4	0	0	5	0	0	0	0	0	0	188	142	154	0	0
PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III	0	113	57	50	149	87	39	0	250	176	53	167	101	311	180	106	186	55	105	145	39	90	24	259	79	463	494	0	142	22	350	78	109	69	105	283	187	128	20	167	56	18	138	268	141	119	1621	0
PWY0-1479: tRNA processing	1	0	295	312	490	346	366	183	503	817	196	1015	615	292	1029	315	105	329	389	666	550	118	226	358	211	328	668	0	762	306	650	218	326	234	540	651	359	267	267	220	0	41	282	104	94	95	0	0
PWY0-1533: methylphosphonate degradation I	0	0	7	0	72	31	14	0	1	0	17	8	2	2	8	3	2460	7	19	17	0	37	0	30	0	413	61	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	0	2973	2333	2611	0	0
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	42	314	1760	924	1688	1716	1686	2939	1275	1987	2115	3852	1633	3407	2330	3863	8018	4540	2776	2825	1976	795	4892	3817	1361	3447	5735	9	2549	5196	3550	1552	1926	1352	2772	5183	3003	1112	1960	3930	208	241	4803	8519	6536	7597	0	0
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	16	153	1158	1070	1661	1059	1464	3196	1734	1622	1270	2434	1094	1724	1730	2307	3574	2548	1865	1833	1762	1123	2868	2584	821	1988	2880	56	1517	3327	2955	1124	1479	911	1530	2274	2379	836	856	1635	339	314	2195	3715	2787	3358	1380	0
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	9	0	1428	1668	1573	2184	1773	2179	2092	1870	1700	2768	1355	1948	2335	2343	3992	1750	2330	1917	2621	467	2157	2732	913	2455	3189	79	2514	3262	4091	1310	1690	1036	1671	2447	2241	940	809	1677	407	405	2217	3921	3027	3593	740	0
PWY0-321: phenylacetate degradation I (aerobic)	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	17	7	0	0	0	32	0	0	0	270	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	14	22	0	0
PWY0-41: allantoin degradation IV (anaerobic)	0	0	17	5	5	7	14	22	0	0	24	19	3	0	0	15	9	114	28	29	0	19	41	119	0	121	40	0	8	28	5	0	18	10	0	22	14	0	17	5	0	0	31	9	5	5	0	0
PWY0-42: 2-methylcitrate cycle I	0	7	3	0	39	12	3	0	0	0	10	11	2	3	9	27	2024	2	9	8	0	27	0	82	6	161	125	0	11	0	6	0	61	5	0	47	103	3	0	10	0	0	14	2212	1751	1911	0	0
PWY0-781: aspartate superpathway	0	0	576	228	575	368	419	466	363	389	379	871	350	596	477	704	1245	1117	792	929	898	221	488	728	231	1264	1470	17	444	1486	950	200	686	313	674	1088	1310	273	307	605	63	23	683	1462	1271	1425	0	0
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0	105	539	964	519	1877	71	589	1535	1397	1593	2255	959	1616	1646	501	3033	2179	2336	939	2418	1609	1620	1667	1086	1194	4200	0	1836	1393	1759	724	1453	991	1341	2266	1318	797	68	1911	62	201	1521	3568	2543	3301	1359	0
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	22	203	793	571	743	985	748	1042	1318	1585	652	2450	1931	1188	2450	902	5585	1733	1533	1941	1449	330	1812	1174	711	1612	2924	9	1617	1670	2363	113	999	936	1240	1193	1113	765	597	590	0	141	1241	5934	4441	5085	1893	0
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)	0	0	98	0	207	0	0	0	43	0	26	29	43	15	95	32	0	138	47	49	25	0	73	40	54	0	134	14	84	38	20	10	92	0	69	32	764	0	10	0	0	0	42	0	0	0	0	0
PWY1G-0: mycothiol biosynthesis	0	0	4	0	155	0	0	0	0	0	0	21	0	51	0	69	0	0	0	0	0	0	0	97	0	0	125	29	8	0	0	6	197	7	94	45	491	4	2	79	0	5	11	0	0	0	0	0
PWY3DJ-35471: L-ascorbate biosynthesis IV	0	0	0	0	0	0	0	0	12	0	29	20	0	0	14	0	0	0	21	0	0	0	0	34	0	67	24	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
PWY3O-19: ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY3O-355: stearate biosynthesis III (fungi)	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	9	4	3	5	0	0	0	0	0	2	0	3	0	11	0	0	0	0	7	25	0	0	0	0	0	8	0	0	0	0	0
PWY490-3: nitrate reduction VI (assimilatory)	0	0	11	4	0	20	34	16	0	0	19	12	0	0	7	22	0	51	70	13	2	28	44	0	0	16	120	5	5	39	0	3	44	4	0	0	190	0	6	0	0	0	10	0	0	0	0	0
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0	0	457	237	1213	634	909	386	420	1394	486	2098	1318	1581	1473	2069	3598	621	559	1237	842	215	830	1524	612	1565	1724	0	1412	487	1324	451	790	667	1911	1739	623	558	791	1158	0	95	957	3897	3000	3473	0	0
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0	0	457	237	1213	634	909	386	419	1394	486	2097	1318	1581	1473	2069	3556	621	559	1236	842	215	830	1524	611	1565	1724	0	1411	487	1324	451	789	667	1908	1739	623	558	791	1158	0	95	956	3829	2936	3405	0	0
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	0	0	175	7	182	152	38	79	275	208	187	356	153	306	217	342	405	516	291	245	130	139	357	364	201	736	655	0	228	416	411	35	248	156	326	549	193	195	233	262	172	0	283	372	317	245	0	0
PWY66-367: ketogenesis	0	27	0	14	4	0	0	6	20	29	7	42	0	59	17	0	285	0	3	11	0	4	0	15	26	0	102	0	0	13	0	0	0	0	0	16	14	13	50	6	0	0	0	185	162	231	0	0
PWY66-375: leukotriene biosynthesis	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY66-388: fatty acid &alpha;-oxidation III	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY66-389: phytol degradation	31	230	753	843	1089	452	268	361	1678	1104	629	1882	628	1430	1236	1207	3574	802	790	666	280	250	465	1774	869	671	2432	30	1083	678	1620	1243	1313	639	1273	1698	1261	801	481	1198	157	187	2255	4008	3042	3463	145	0
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome)	0	0	0	0	0	0	0	0	0	110	29	30	0	50	55	43	0	32	30	39	0	14	0	75	24	0	323	33	20	0	48	31	143	0	0	82	852	0	0	104	0	0	36	0	0	0	0	0
PWY66-398: TCA cycle III (animals)	0	0	218	141	307	152	216	438	98	123	58	401	198	277	232	345	427	417	216	245	332	123	147	516	92	410	817	0	320	326	391	104	306	148	365	803	701	195	117	597	83	31	601	452	347	416	40	0
